english,portuguese
Do you really want to go back to Boston?,Você realmente quer voltar para Boston?
Are Tom and Mary still living here?,O Tom e a Maria ainda estão morando aqui?
"Tom plays with dolls, but his sister doesn't.","Tom brinca com bonecas, mas a irmã dele não."
I'm not short.,Eu não sou baixo.
They accused her of taking the money.,Eles a acusaram de pegar o dinheiro.
Tom never goes to school by bus.,Tom nunca vai à escola de ônibus.
Take care!,Tome cuidado!
I need a ladder.,Eu preciso de uma escada.
Tom served his guests champagne.,Tom serviu champagne para seus convidados.
Tom is fair.,Tom é justo.
Go close the safe.,Vá fechar o cofre.
She resides in New York.,Ela reside em Nova York.
I woke up early today.,Acordei-me cedo hoje.
You aren't ready for this.,Você não está preparada para isso.
What would you like to do while you're here in Australia?,O que você gostaria de fazer enquanto estiver aqui na Austrália?
I usually eat breakfast at seven o'clock.,Normalmente eu tomo café da manhã às sete.
It's a pity that you can't come.,É uma pena que vocês não possam vir.
Do you remember the name of your first French teacher?,Você se lembra do nome de seu primeiro professor de francês?
Tom and Mary were speaking in French when John entered the room.,Tom e Maria estavam falando francês quando João entrou na sala.
The decision was unanimous.,A decisão foi unânime.
You were the one who told me to do that.,Foi você quem me disse para fazer isso.
She came here once again.,Ela veio aqui de novo.
Canada borders the United States.,O Canadá faz fronteira com os Estados Unidos.
I can sleep anywhere.,Eu consigo dormir em qualquer lugar.
Didn't you read the manual?,Vocês não leram o manual?
Tom is still at his grandmother's house.,Tom ainda está na casa da avó.
We have a lot of equipment that no one knows how to use.,Temos muitos equipamentos que ninguém sabe como usar.
I let the cat out of the house.,Deixei o gato fora de casa.
I would suggest the following change.,Eu sugeriria a seguinte alteração.
How did you get this picture?,Como conseguiram este retrato?
I completely forgot to make something for us to eat.,Esqueci completamente de fazer algo para comermos.
I need to study math.,Preciso estudar matemática.
He is an aristocrat.,Ele é um aristocrata.
You've already done that.,Você já fez isso.
I know his family.,Eu conheço a família dele.
Tom says that he wasn't the one who broke the window.,Tom diz que não foi ele quem quebrou a janela.
I'd like to leave the city and rediscover nature.,Gostaria de deixar a cidade e redescobrir a natureza.
Please wait here.,"Espere aqui, por favor."
Mary is a rebellious girl.,Mary é uma rapariga rebelde.
Please follow me.,"Siga-me, por favor."
Is it true that you closed the shop at nine?,É verdade que vocês fecharam a loja às nove?
Why am I watching this?,Por que eu estou assistindo a isto?
Tom is one of the best coaches in Boston.,Tom é um dos melhores treinadores de Boston.
I didn't like the plot of the movie.,Eu não gostei da trama do filme.
I've already explained it to you twice.,Eu já te expliquei isso duas vezes.
Run and hide.,Corre e esconde-te.
I've been living here for many years.,Há muitos anos que eu moro aqui.
My suitcase was lost.,A minha mala se perdeu.
I wonder whether Tom really said that or not.,Eu me pergunto se o Tom realmente disse isso ou não.
He is the chosen one.,Ele é o escolhido.
Tom and Mary are doing that with John.,O Tom e a Mary estão fazendo aquilo com o John.
Here's a test I want you to take.,Este é um teste que eu espero que vós façais.
I don't know. Let me check.,Eu não sei. Deixe-me conferir.
That sounds like a lot of work.,Isto soa a trabalho duro.
I'm going to study English this afternoon.,Estudarei inglês nessa tarde.
Tom is a clever kid.,O Tom é uma criança esperta.
Did you do your homework by yourself?,Você mesmo fez seu dever de casa?
The light bulb has burned out.,A lâmpada queimou.
Tom got an F in French.,"Tom tirou 3,5 na prova de francês."
You are in love with Tom?,Está apaixonada por Tom?
We've got to do this now.,Nós temos de fazer isto agora.
We have small and large portions.,Temos porções pequenas e grandes.
It was fun celebrating together.,Foi divertido comemorarmos juntos.
We did what you asked.,Fizemos o que você pediu.
I'll come with you.,Eu irei com você.
You can take part in the meeting regardless of your age.,Você pode participar da reunião não importa qual seja a sua idade.
I'm ready to follow you.,Estou pronto para segui-lo.
Have you ever had a serious illness?,Você já teve alguma doença grave?
Will you tell me why you like her?,Você pode me dizer por que você gosta dela?
How can I deactivate my account on this site?,Como eu posso desativar a minha conta neste site?
Are there hotels on the island?,Há hotéis na ilha?
Your wallet is on the table.,Sua carteira está na mesa.
Tom knew it was a lie.,O Tom sabia que era mentira.
Tom asked me if I were hungry.,Tom me perguntou se eu estava com fome.
Tom has been studying French for three years.,Tom tem estudado francês por três anos.
Have you ever tried scuba diving?,Você já tentou mergulhar com aparelho de respiração subaquática?
I'm the best.,Eu sou o melhor.
I know that you're near.,Eu sei que você está por perto.
Tom didn't know you wanted to stay.,Tom não sabia que vocês queriam ficar.
Tom couldn't open the door.,Tom não pôde abrir a porta.
Tom slept a lot longer than I did.,Tom dormiu muito mais tempo que eu.
Do you want to try again?,Queres tentar outra vez?
"Unfortunately, I can't accept your invitation.","Infelizmente, não posso aceitar o seu convite."
The table was covered with paper.,A mesa estava coberta com papéis.
"If it were not for electricity, our civilized life would be impossible.","Se não fosse pela eletricidade, a nossa vida civilizada seria impossível."
Tom's dog must've smelled something.,O cachorro de Tom deve ter cheirado alguma coisa.
Hi! How are you?,Olá! Tudo bem?
There's no money in the cash register.,Não há dinheiro no caixa.
Tom tightened the screws.,Tom apertou os parafusos.
Tom bought Mary a birthday present.,Tom comprou um presente de aniversário para Mary.
How did you know that I was Canadian?,Como você sabia que eu era canadense?
He wanted to reduce the tax on imports.,Ele queria reduzir os impostos de importação.
I know her.,Eu conheço ela.
I won't let you down.,Eu não vou te decepcionar.
She took advantage of her paid vacation and went skiing.,Ela aproveitou as férias pagas e foi esquiar.
We don't get out much.,Nós não saímos muito.
I'll have to call you back.,Vou ter de te ligar de volta.
She was ready to help him with cleaning the house.,Ela estava pronta em ajudá-lo a limpar a casa.
Tom lacks confidence.,Falta confiança ao Tom.
Have you ever studied archeology?,Vocês já estudaram arqueologia?
There are not many countries in the world that abound in natural resources.,Não há muitos países no mundo cheios de recursos naturais.
Tom needs a good lawyer.,Tom precisa de um bom advogado.
I recorded our conversation.,Eu gravei nossa conversa.
Tom said he was very busy this week.,Tom disse que ele estava muito ocupado esta semana.
I prefer to write in French.,Eu prefiro escrever em francês.
I believe that everything will be fine.,Creio que tudo vai ficar bem.
Tom left in a taxi with Mary.,Tom foi embora de táxi com Mary.
Tom left this morning without finishing his breakfast.,Tom saiu esta manhã sem terminar o café da manhã.
I've written a letter.,Eu escrevi uma carta.
Tom hates paperwork.,Tom odeia papelada.
He's probably sleeping.,Ele provavelmente está dormindo.
There's still a chance.,Ainda há uma chance.
Japan is an industrial country.,O Japão é um país industrial.
No one got sick.,Ninguém adoeceu.
The door was locked.,A porta estava trancada.
I doubt that Tom is still mad.,Duvido que o Tom ainda esteja zangado.
This size doesn't fit me.,Este tamanho não cabe em mim.
Tom has decided to do that again.,Tom decidiu fazer aquilo de novo.
Tom saw Mary working.,O Tom viu a Mary trabalhando.
Can I do this?,Consigo fazer isso?
Tom was a delicate child.,Tom era uma criança delicada.
When were you fired?,Quando você foi demitido?
Where do you wish to go?,Para onde você deseja ir?
That's a risk Tom had to take.,Esse é um risco que o Tom teve que correr.
Look at this photo.,Olhe para essa foto.
The news made her very sad.,A notícia a deixou muito triste.
Tom fell into the water.,Tom caiu na água.
I haven't read either of her novels.,Não li nenhuma de suas novelas.
Nobody's indispensable.,Ninguém é indispensável.
My grandmother used to use her sewing machine a lot when she was younger.,"Quando era mais jovem, minha avó usava muito sua máquina de costura."
She lives quite close by.,Ela mora bem perto.
You might find this interesting.,Pode ser que vocês achem isto interessante.
I didn't think that you'd be tempted to do that.,Eu não acho que você ficaria tentado a fazer isso.
It's not evening yet.,Ainda não é noite.
Please restart your computer.,"Por favor, reinicie seu computador."
We need the truth now.,Precisamos da verdade agora.
"Hopefully, it'll rain tomorrow.",Tomara que chova amanhã.
You're tired.,Você está cansado.
Look what has happened.,Olhe o que aconteceu.
We have to wait for Tom.,Nós temos que esperar o Tom.
Tom struck up a conversation with a stranger.,Tom puxou conversa com um desconhecido.
Tom is taller than I am.,Tom é mais alto do que eu.
Tom lost his mind.,O Tom ficou virado do avesso.
Mary wants you to ask her out.,Mary quer que você convide-a para sair..
I just wanted Tom to like me.,Eu só queria que o Tom gostasse de mim.
That's the one.,É esse.
I didn't know you were such a good cook.,Não sabia que você era um bom cozinheiro.
Tom is usually at home on Mondays.,O Tom geralmente está em casa às segundas.
I asked Tom not to do that.,Pedi para o Tom não fazer isso.
I find languages fascinating.,Acho as línguas fascinantes.
These questions can be answered quite simply.,Essas questões podem ser respondidas bem simplesmente.
You can stay for dinner.,Tu podes ficar para jantar.
What're you doing in my room?,O que você está fazendo no meu quarto?
"Yesterday, Tom told me that he didn't know Mary.",Ontem Tom me disse que não conhecia Mary.
Why do you ask?,Por que estais a perguntar?
Tom passed away three months ago.,Tom faleceu há três meses.
It was a disgrace.,Foi uma desgraça.
Tom stole Mary's computer.,Tom roubou o computador de Maria.
Tom acknowledged his mistake.,Tom reconheceu o erro dele.
Keep up the good work.,Continue com o bom trabalho.
Are you just now figuring this out?,Estás só agora a descobrir isto?
Come to pick me up if it rains tomorrow.,Venha me pegar se chover amanhã.
Thanks for the correction.,Obrigado pela correção.
Don't put that in the bag.,Não coloque isso na bolsa.
I'd love to see them.,Gostaria de vê-los.
Have you seen Tom's new tattoo?,Viu a tatuagem nova de Tom?
You had no right to do that.,Não tinhas o direito de fazer isso.
Tom's trial is set to start on October 20th.,O julgamento de Tom deve começar no dia vinte de outubro.
I heard you enjoy going to the beach.,Eu soube que você gosta de ir à praia.
We caught the thief.,Nós pegamos o ladrão.
Tom says he's tired of doing that.,O Tom diz que ele está cansado de fazer isso.
I would like the least expensive one.,Eu quero o mais barato.
The light bulb burst.,O bulbo da lâmpada estourou.
"Give me something to write with. ""Will this do?"" ""Yes, it will do.""","Dê-me algo para escrever. ""Isso dá?"" ""Sim, dá."""
I had completely forgotten.,Me esqueci completamente.
I don't think that she looks like her mother.,Não acho que ela se pareça à sua mãe.
You're seriously ill.,Você está gravemente doente.
That's likely to happen.,Isso é bem provável que aconteça.
We need it now.,Nós precisamos disso agora.
What? What did you say?,Quê? O que você disse?
I've been waiting for an hour.,Faz uma hora que estou esperando.
